Row,coelomocyte,endocrine,epithelium,excretory,germline,gland,glia,gonad,hypodermis,intestine,mesoderm,muscle,neuron,pharynx,seam,valve,vulva
RC03648,46.72,48.3319,28.7961,24.4453,50.1242,26.4272,23.7367,75.1324,27.9239,40.7098,22.5878,37.3313,25.182,19.413,29.4335,49.7412,134.6042
RM03648,1,4.9443,6.6173,1,33.7495,3.2111,3.3521,6.1893,6.4088,1,2.9625,6.4379,5.448,19.413,4.3091,4.0463,13.8114
RC03646,35.29,83.8308,52.9119,47.8906,77.4155,24.9532,48.5118,43.2555,29.9673,42.9159,21.6065,38.5135,24.1434,62.3768,26.1245,63.4496,90.6795
RM03646,1,1,12.5252,1,11.9165,5.7906,11.6627,14.3438,7.4906,14.2366,20.6253,25.8251,18.9954,13.2754,14.8491,5.5695,11.9812
RC03664,1,1,3.5181,12.7226,6.4582,4.3166,3.0385,4.7066,2.0818,5.4122,1,2.9702,4.1159,7.1377,2.8384,7.0926,2.8302
RM03664,23.86,1,1.9685,1,6.4582,1.737,4.2929,5.8186,10.1349,18.6488,20.6253,7.8565,2.7837,7.1377,2.7158,1,21.1321
RC03660,23.86,32.5546,18.7237,59.6132,28.2912,15.0034,14.0148,28.7996,19.1496,31.8854,6.8876,18.5746,18.2954,7.1377,14.3589,42.1254,66.887
RM03660,1,28.6103,21.6292,24.4453,17.3747,12.0553,10.7219,12.1199,12.4186,7.6183,16.7002,18.6534,18.7019,43.9638,17.9131,25.3706,33.9435
RC03655,172.4501,20.7216,48.6505,24.4453,421.285,24.9532,27.5,49.1861,19.6304,36.2976,112.8641,37.0161,28.8624,25.5507,30.0463,55.8338,103.4909
RM03655,172.4501,20.7216,48.6505,24.4453,421.285,24.9532,27.5,49.1861,19.6304,36.2976,112.8641,37.0161,28.8624,25.5507,30.0463,55.8338,103.4909
RC03663,35.29,68.0535,41.2899,36.1679,66.499,71.3854,19.5029,69.5725,16.1447,49.5342,19.644,58.9252,35.8844,19.413,26.3696,54.3107,163.8873
RM03663,35.29,68.0535,41.2899,36.1679,66.499,71.3854,19.5029,69.5725,16.1447,49.5342,19.644,58.9252,35.8844,19.413,26.3696,54.3107,163.8873
RC03657,149.5901,131.1626,107.9231,106.5038,323.0366,81.3352,57.4497,179.6591,37.9002,100.2744,47.1194,93.9956,59.5923,99.2029,39.4833,115.2371,572.0207
RM03657,35.29,8.8886,3.1307,1,11.9165,3.5796,3.3521,8.0426,3.0433,5.4122,11.7939,8.1717,14.0506,1,2.8384,43.6485,15.6416
RC03656,46.72,64.1092,35.7694,106.5038,39.2077,25.3217,33.929,59.5646,48.3573,53.9464,18.6627,48.0494,20.5759,50.1014,50.7587,89.3434,110.8117
RM03656,1,1,10.4914,1,17.3747,3.5796,4.1361,7.6719,5.2069,5.4122,2.9625,5.8074,6.148,13.2754,5.9023,7.0926,13.8114
RC03658,12.43,32.5546,18.9174,36.1679,28.2912,17.2144,12.9172,37.3249,15.6639,67.1829,16.7002,30.5537,9.4445,7.1377,27.8403,25.3706,132.774
RM03658,12.43,32.5546,18.9174,36.1679,28.2912,17.2144,12.9172,37.3249,15.6639,67.1829,16.7002,30.5537,9.4445,7.1377,27.8403,25.3706,132.774
RC03038,92.4401,48.3319,47.9726,83.0585,208.4134,47.0638,27.3432,87.7349,19.5102,49.5342,42.2131,63.1021,32.3169,25.5507,22.5703,60.4033,176.6987
