Row,energy,lipid,pro_syn,nucl_acid,ECM
ENSG00000072657,0,0,0,0,0
ENSG00000072682,2.27737033945054e-08,0,0,0,0
ENSG00000072756,0,0,0,0,6.95918783403309e-09
ENSG00000072778,2.31578574186305e-08,0,0.000129659271919506,7.38327415691273e-06,0.000696369622639613
ENSG00000073060,0,0,0,0,1.63872696391001e-08
ENSG00000073417,0,0,0,0,8.90423928183417e-09
ENSG00000073578,0.111303655781368,0,0.0180216770841082,0.035439684876666,0.0239914733152022
ENSG00000073734,2.27250894996616e-08,0,0,0,0
ENSG00000073737,0,0,0,0,0
ENSG00000073756,0,0,0,0,0
ENSG00000073849,0,0,0,0,1
ENSG00000074370,0,0,0,0,0
ENSG00000074410,2.31280395966518e-08,0,0,0,0
ENSG00000074416,2.31489799471386e-08,0,0,0,1.63872736702836e-08
ENSG00000074621,2.29229848408322e-08,0,0,0.00337469011903281,0.0014360798808425
ENSG00000074696,0,1,0,0,8.90963548603681e-09
ENSG00000074800,0.0624710599700327,0.0448598949340663,0.000124626099137942,0,0.0109300919244983
ENSG00000074803,2.28362175994327e-08,0,0,0,1.6387264832689e-08
ENSG00000075188,0,0,0,1,0
ENSG00000075239,3.54466564140835e-05,0,0,0,0.0021727296489917
ENSG00000075303,2.26014129170033e-08,0,0,0,9.26396224830343e-09
ENSG00000075415,1,0.0556479390523285,0,0.216524341158086,0.145156890042475
ENSG00000075651,0,0,0,0,0
ENSG00000075673,2.27258276337918e-08,0,0,0,9.34438373822104e-09
ENSG00000075975,0,0,0,0,0
ENSG00000076258,0,0,0,0,0
ENSG00000076351,2.27486739187544e-08,0,0,0,8.90505621666763e-09
ENSG00000076555,0,0,0,0,0
ENSG00000076685,2.3004766535425e-08,2.27367683312802e-08,9.89938228807726e-09,0,1.71338940078813e-08
ENSG00000077009,0,0,0,0,0
ENSG00000077044,0,0,0,0,0
ENSG00000077152,0,0,0,0,0
ENSG00000077254,0,0,0,0,0
ENSG00000077463,2.32561543070379e-08,0,0,0,1.62623356358671e-09
ENSG00000077498,2.26023776392603e-08,0,0,3.28338680969208e-05,0
ENSG00000077514,0,0,0,1,7.39099347733438e-09
ENSG00000077721,0,0,0,0,0
ENSG00000077800,0,0,0,0,0
ENSG00000078070,0,0.03500110212515,0,0,0.000235528005063434
ENSG00000078124,2.27577710874999e-08,0.000534590809715607,0,0,0
ENSG00000078140,0,0,0,0,0
ENSG00000078142,2.27646013616141e-08,0,0,0,1.6387273515238e-08
