"","RNAi","DEG","type","prop_single_raw","prop_single_norm","prop_full_raw","prop_full_norm","prop_p_single_raw","prop_p_single_norm","prop_p_full_raw","prop_p_full_norm"
"16","energy","pro_syn","up",0.0153015301530153,0.00724531785242743,0.0158104809021274,0.00706931135095481,0.300869913008699,0.524247575242476,0.516948305169483,0.842115788421158
"17","lipid","pro_syn","up",0.0313807531380753,0.00938328466455293,0.0293731760551291,0.00903826201151274,0.0615938406159384,0.447155284471553,0.0896910308969103,0.788121187881212
"18","pro_modi","pro_syn","up",0.00851063829787234,0.00697314049586777,0.0112782718154871,0.00743268262533961,0.603839616038396,0.556844315568443,0.785821417858214,0.868513148685132
"19","pro_syn","pro_syn","up",0.048689138576779,0.120561516200117,0.0456933618912651,0.0781623885500311,0.046937550040032,0.033626901521217,0.0191980801919808,0.0516948305169483
"20","nucl_acid","pro_syn","up",0,0,0.00868265975676015,0.00617655903922054,1,1,0.9000099990001,0.902209779022098
"21","energy","nucl_acid","up",0.0153015301530153,0.0135437130042215,0.0293992275598383,0.0235063447223942,0.995900409959004,0.977602239776022,0.987401259874013,0.984901509849015
"22","lipid","nucl_acid","up",0.0188284518828452,0.0119980266455066,0.0367793118669838,0.0276050045415707,0.983301669833017,0.974602539746025,0.956404359564044,0.976302369763024
"23","pro_modi","nucl_acid","up",0.00425531914893617,0.0151515151515152,0.0294290819019775,0.0385628131013173,0.999800019998,0.97960203979602,0.996000399960004,0.944005599440056
"24","pro_syn","nucl_acid","up",0.015605493133583,0.00992112632207917,0.0323430655758825,0.0443846562667605,0.898018414731785,0.861489191353082,0.954404559544046,0.823217678232177
"25","nucl_acid","nucl_acid","up",0.0407239819004525,0.0246258179042706,0.0545304467756091,0.0342420048945362,0.79002099790021,0.903909609039096,0.654034596540346,0.957904209579042
"26","energy","energy","down",0.562556255625563,0.495120511497674,0.49264373458026,0.44685689776354,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05
"27","lipid","energy","down",0.493723849372385,0.389630223017389,0.406423964489786,0.361505302140829,9.99900009999e-05,0.001999800019998,9.99900009999e-05,0.0002999700029997
"28","pro_modi","energy","down",0.625531914893617,0.496742699622525,0.476215129735656,0.399572012576257,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05
"29","pro_syn","energy","down",0.51685393258427,0.561057374113007,0.41958217920639,0.463258335299675,0.000600480384307446,0.00270216172938351,9.99900009999e-05,9.99900009999e-05
"30","nucl_acid","energy","down",0.606334841628959,0.596065794445455,0.472468341204497,0.506818771126742,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05
"31","energy","lipid","down",0.0621062106210621,0.0261892933986859,0.0690416833512019,0.0306772911592425,0.994600539946005,0.994800519948005,0.997800219978002,0.998000199980002
"32","lipid","lipid","down",0.0774058577405858,0.0383511761041242,0.0800696471049857,0.0447410546347189,0.968003199680032,0.958104189581042,0.992600739926007,0.983601639836016
"33","pro_modi","lipid","down",0.0212765957446809,0.0206556494227727,0.0400982661306696,0.0344174323729638,1,0.999100089991001,1,0.999600039996
"34","pro_syn","lipid","down",0.151685393258427,0.125958306635876,0.14170397449111,0.111577862147643,0.352682145716573,0.361389111289031,0.431156884311569,0.473652634736526
"35","nucl_acid","lipid","down",0.0316742081447964,0.04410045558543,0.0466836628077068,0.041130305518533,0.999900009999,0.954504549545045,1,0.994900509949005
"36","energy","pro_modi","down",0.0297029702970297,0.0148921815791294,0.0580105144864823,0.0380863646879892,1,1,1,1
"37","lipid","pro_modi","down",0.0355648535564854,0.0421505139018547,0.067689301975787,0.0539898763403525,0.999900009999,0.998700129987001,1,1
"38","pro_modi","pro_modi","down",0.0425531914893617,0.0673442037078401,0.0815229896725816,0.100129210355297,1,0.98970102989701,1,0.988701129887011
"39","pro_syn","pro_modi","down",0.083645443196005,0.0513139592112779,0.112919243322168,0.0830607373271656,0.953362690152122,0.936549239391513,0.998000199980002,0.985501449855015
"40","nucl_acid","pro_modi","down",0.00452488687782805,0.00694444444444444,0.0497555063317591,0.0482955712188321,1,1,1,1
"41","energy","pro_syn","down",0.027002700270027,0.0107011411929259,0.0314530400299676,0.0125212236632641,0.702429757024298,0.772122787721228,0.929107089291071,0.966903309669033
"42","lipid","pro_syn","down",0.0251046025104603,0.00839707887830761,0.0325653350336382,0.0138981198304002,0.736626337366263,0.817818218178182,0.919208079192081,0.957504249575043
"43","pro_modi","pro_syn","down",0.0340425531914894,0.0196802939019626,0.0440742545444702,0.0489861865625053,0.52994700529947,0.54954504549545,0.683131686831317,0.311668833116688
"44","pro_syn","pro_syn","down",0.0262172284644195,0.0174223607784936,0.0379365552263162,0.0276201161900413,0.569555644515612,0.441753402722178,0.761623837616238,0.632536746325367
"45","nucl_acid","pro_syn","down",0.0226244343891403,0.013687865497076,0.0321080787394993,0.0432506628339975,0.795520447955204,0.680931906809319,0.935706429357064,0.405459454054595
"46","energy","nucl_acid","down",0.0459045904590459,0.0256400014317533,0.0731234741723394,0.0480580152200839,0.999900009999,0.999000099990001,1,0.999100089991001
"47","lipid","nucl_acid","down",0.0815899581589958,0.023330586374429,0.103371181466676,0.0402923113180037,0.991900809919008,0.998900109989001,0.998100189981002,0.999600039996
"48","pro_modi","nucl_acid","down",0.0808510638297872,0.0736526008630616,0.102841055210406,0.0897178649868475,0.996800319968003,0.918108189181082,0.999600039996,0.955204479552045
"49","pro_syn","nucl_acid","down",0.101123595505618,0.0782694987108221,0.130311667954994,0.107606330906051,0.856585268214572,0.74189351481185,0.939406059394061,0.785421457854215
"50","nucl_acid","nucl_acid","down",0.0271493212669683,0.0416666666666667,0.0635474568479124,0.0460615425244875,0.999900009999,0.988101189881012,1,0.999400059994001
