Row,energy,lipid,pro_modi,pro_syn,nucl_acid
C34B2.8,1,0.223631946304109,0.192760288301746,0.216368161511016,0.163691561727608
C34B7.2,0,0,0,0,0
C34C6.4,0,1.07873983599961e-09,0,0,0
C36A4.4,0,0,1,0,0
C37H5.13,0,1,0,0,0
C39B5.6,0,0,0,0,0
C39D10.3,0.000166908604025519,0.0279465681663298,0.00147521453020431,0,0.00205108357890952
C42C1.11,0,0,0,0,0
C44B7.12,0,0,0.000247312547439828,2.88647714457118e-05,0
C44B7.7,0,1.37036578825719e-09,0,0,0
C44E12.1,2.27882976792071e-05,0.000199955572093344,0.000400111944942208,0,0.000136161134991657
C47B2.2,0,0,0,0,0
C49F5.5,4.71703316065011e-06,0.0341654513303539,0.0148348573437808,0,0
C50D2.7,0,0,0,0,0
C53A3.2,0,0,0.000184006294070167,0,0.000146121657690093
C53D5.5,0,0,0,0,0
C54E4.5,0,0,0,0,0
C55H1.1,0,0,0,0,0
C56A3.8,0,1.37036506859e-09,0,0,0
C56G3.2,7.79879829627992e-06,0.000247368454938191,0.000158750528217571,0,0.000119235562792316
D1005.2,0,1,1,0,0
D2023.4,0,0,0,0,0
D2030.4,1,0.223631946304109,0.192760288301746,0.216368161511016,0.163691561727608
D2063.1,7.79879829640062e-06,0.000266452898752236,0.000220085959571381,0,0.00134201105813375
E01A2.1,0,0,0,0,0
E02H1.6,1,1,1,1,1
F01D4.8,8.6168540697908e-07,1.27828648795895e-05,2.17921179670034e-05,0,6.18174164722672e-06
F01G4.5,0,0,0,0,0
F02A9.4,0.0138858967994154,0.0651732968409116,0.127018460339994,1.35742178227285e-05,2.17130815364232e-06
F02E9.7,1.57337210702618e-06,0.00022739736168521,0.000339581447069606,0,0.00168388241034044
F07A11.5,6.26267135893235e-05,0.00157366760359079,0.00259450883393341,0,0.00162440303341256
F08F3.4,0.00122313694280869,0.000729953337503772,0.00046228899057856,0.000931787073656824,0.00476182824767755
F08F8.7,0.00108078030186145,0.188897800454784,0.0536964091778192,0.000659790627480207,0.0938926986773643
F09E5.3,0.00106659731849968,0.00972148568360616,0.0142184072085288,0.000837017931868153,0.0299072772886389
F09G2.8,0.000166908604024554,0.00428077775266799,0.00147521453020308,0,0.00205108357890483
F10C2.4,0,0,0,0,1
F10D2.8,0,0,0,0,0
F10F2.2,0,0,0,0,1
F12F6.7,0,0,0,0,1
F13B12.4,8.6168540697908e-07,1.27828648795895e-05,2.17921179670034e-05,0,6.18174164722672e-06
F13E6.5,0,1,0,0,0
F13H10.5,0,0,0,0,0
F13H8.9,0,1.52686186693429e-06,0,0,0
F19B6.1,0,0,0,0,0.000232683479433304
F19G12.2,0,0,0,0,1
F21D5.1,0,0,1,0,0
F23C8.5,1,1,1,0.00558490294411991,0.0241864638352594
F25B5.3,0.0189920415259207,0.0888002687983711,0.0878501111871692,0.00214261532468845,0.0357174960434448
F25B5.6,0,0,0,0,0
F25E2.3,0,1,0,0,0
F25H9.6,0,1,0,0,0
F26C11.1,1.57337210702618e-06,0.00022739736168521,0.000339581447069606,0,0.00168388241034044
F26D11.1,1.63247572719848e-05,0.000985471235346132,0.00153140975407627,0,0.00099908524439559
F26E4.4,0,0,0,0,1
F26E4.6,1,1,1,1,1
F26H9.5,3.50181979870493e-07,0.110696417185477,0.06104010070537,0,0.00937898631356934
F27D4.1,1,1,1,0.00558490294411991,0.0241864638352594
F29C4.2,1,1,1,1,1
F31D4.9,1,0.223631946304109,0.192760288301746,0.216368161511016,0.163691561727608
F32B5.1,0,0,0,0,0
F32D1.5,0.000651149201455372,0.000650221220666712,0,3.64346725914332e-06,0
F32D8.12,5.15852522228397e-05,0.000590580140977235,0.00132166648541931,0,0.00031832752358304
F32D8.13,1,0,1,0,0
F33D4.4,0,1,0,0,0
F35C8.5,0,0,0,0,0
F37C12.3,1,0.223631946304109,0.192760288301746,0.216368161511016,0.163691561727608
F38B2.4,1,1,1,1,1
F38B6.4,0,0,0,0,1
F39B2.3,0,0,0,0,3.02606553539381e-05
F40F8.1,0.000166908604024433,1,1,0,1
F41E6.5,0,0,0.000184006294069183,0,0.000146121657685036
F41E7.6,0,6.22507670047145e-05,7.22408268005614e-05,0,0
F42F12.3,0,0,0,0,0
F42F12.4,0,0,0,0,0
F42G8.10,1,0.223631946304109,0.192760288301746,0.216368161511016,0.163691561727608
F43G6.5,0,0,0,0,1
F44E7.2,0,0,0.000184006294070167,0,0.000146121657690093
F44G4.2,1,0.223631946304109,0.192760288301746,0.216368161511016,0.163691561727608
F45H10.2,1,1,1,1,1
F45H10.3,1,0.223631946304109,0.192760288301746,0.216368161511016,0.163691561727608
F48E8.3,0,0,0.0158798426941612,0,0
F49E2.1,0,0,0,0,0
F49H6.5,0,0,0,0,0
F52B11.2,0,0,1,0,0
F52C9.3,0,0,0,0,0
F53C11.3,0,0.00014224877496846,0.000136636072007011,0,0
F53C3.13,0,1,0,0,0
F53F1.2,0,0,0,0,0
F53F1.3,0,0,0,0,0
F53F10.2,0,0,0,0,0
F53F4.10,1,0.223631946304109,0.192760288301746,0.216368161511016,0.163691561727608
F54C1.1,0,0,0,0,0
F54C8.1,1,1,1,0.00555414380265354,0.0119180944249147
F54D5.12,0,0,0,0,2.99896133125896e-06
F54D5.7,0.00410770729426604,0.0401311216566436,0.0555533180866387,0,0.00251368625052829
F54D7.2,0.000166908604024674,0.0279465681663309,0.00147521453020222,0,0.00205108359331975
F55G1.9,0.000440649210297971,0.000418678044639135,1,0.000722252398853721,0.00060086431091093
F57B9.1,0,0,0,0,0
F58A6.1,0,0.00777920744933004,0.00473098620539313,0,0
F58F12.1,1,1,1,1,1
F58F9.1,0,0,0,0,1
F58H1.3,0,0,0,0,0
F59A7.7,8.6168540697908e-07,1.27828648795895e-05,2.17921179670034e-05,0,6.18174164722672e-06
F59B2.3,0.000263289258982802,0.00848289245810018,0.00938267561272379,0,0.00867273266502388
F59C6.5,1,0.223631946304109,0.192760288301746,0.216368161511016,0.163691561727608
H14N18.4,0,0,0,0,0
H23N18.4,0,0,0,0,0
H24K24.3,1.55975965919564e-05,0.000513821353685957,0.000378836487784645,0,0.00137575376149611
H28O16.1,1,1,1,1,1
H43I07.3,0,0,1,0,0
K01C8.1,0,0,3.36307438654184e-05,0,0
K02D7.1,0.00565470505769361,0.0858278538865785,0.0734875222704942,0.00133117657606331,0.0305806066471842
K03H1.13,0,0,0.00214211651433624,0,0
K04A8.10,0,0,0,0,0
K04C2.2,0,0,0,0,1
K05B2.4,0,1,0,0,0
K07B1.4,0,0,0,0,0
K07E3.4,0.00157891748593702,0.00961568310867761,0.0375734213870031,0.000882762206195585,0.0418355804776993
K08E3.5,0,1,1,0,0
K09A9.6,0,0,0.000189163583190973,0,0
K09E4.2,0,0,1,0,0
K09H11.7,0,0,0.000184006294070167,0,0.000146121657690093
K10D2.7,0,0,0,0,0
K11H3.3,0,0.0413964843706313,0.263899652405166,0,4.87631774366526e-05
K12H4.7,1,1,1,1,1
M01E11.1,0,0,0,0,0
M04D5.1,0,3.08586232036315e-09,1,0,0
M05B5.4,1.7000043372306e-05,1.69815603906866e-05,6.9234094120761e-06,8.47759999983803e-06,6.13503697462579e-06
M153.1,0.000440649210297971,0.000418678044639135,1,0.000722252398853721,0.00060086431091093
M57.2,0,0,0,0,0
R01H10.7,0,0,0,0,0
R02D3.1,0.00501220082048569,0.0439005555479382,0.0524674328191074,0,0.00811864170436404
R04B3.2,0,0,0.000189163583189437,0,0
R04B5.5,0,0.000247368454938624,0.000158750528216709,0,6.01965948063033e-05
R04B5.6,0,0.000247368454938624,0.000158750528216709,0,6.01965948063033e-05
R04F11.2,1,1,1,1,1
R04F11.3,0,0,0,0,1
R05D11.9,0,0,0,0,0
R05D3.6,1,1,1,1,1
R05F9.6,0.0020110694919701,1,1,0.00120837366882169,0.0227491918455757
R05G6.5,0.000707291957104154,1,1,0.115426985230988,1
R07E4.3,1,1,1,1,1
R07H5.8,0,0.0335082411982762,0,0,0.000226270967898216
R08D7.7,0,0,0,0,0
R08F11.1,0,0,0,0,0
R09D1.14,0,0,0,0,0
R102.4,0.000564958401342986,0.00178803739314001,0.000454707550739049,0.000837017930589322,0.01766307061492
R10D12.15,0,0,0,0,0
R10H10.6,0,0,0,0,0
